Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
Female,Loyal Customer,47,Business travel,Business,2461,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4.0,7.0,satisfied
Male,Loyal Customer,28,Business travel,Business,3953,1,1,1,1,4,4,4,4,4,3,4,5,4,4,0.0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,3755,4,4,4,4,4,5,4,4,4,4,4,4,4,5,0.0,0.0,satisfied
Male,Loyal Customer,17,Personal Travel,Eco,1491,4,4,4,3,3,4,3,3,2,2,3,3,3,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Eco Plus,902,5,3,3,3,5,5,5,5,5,5,5,2,5,2,17.0,28.0,satisfied
Male,Loyal Customer,53,Business travel,Business,3926,1,1,4,1,3,4,4,4,4,4,4,3,4,4,88.0,63.0,satisfied
Female,Loyal Customer,52,Business travel,Business,366,4,4,4,4,3,5,4,5,5,5,5,5,5,3,1.0,0.0,satisfied
Male,disloyal Customer,22,Business travel,Eco,1945,4,0,4,5,2,4,2,2,5,4,5,5,5,2,0.0,6.0,satisfied
Male,Loyal Customer,41,Personal Travel,Eco,1555,3,1,3,1,4,3,4,4,3,5,2,4,2,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,9,Personal Travel,Eco,2942,2,2,2,3,4,2,4,4,4,2,2,1,3,4,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Personal Travel,Business,850,3,1,3,3,3,4,4,5,5,3,5,3,5,3,17.0,8.0,neutral or dissatisfied
Male,Loyal Customer,66,Personal Travel,Eco Plus,3399,3,4,3,2,5,3,5,5,3,3,5,3,5,5,62.0,53.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,2980,3,3,3,4,5,3,5,5,1,5,3,1,4,5,12.0,34.0,neutral or dissatisfied
Female,Loyal Customer,71,Business travel,Eco Plus,1812,1,2,2,2,4,3,3,1,1,1,1,2,1,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,2395,1,5,4,5,2,1,1,4,4,3,1,1,4,3,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Business,2289,4,0,3,3,2,3,2,2,4,2,4,3,5,2,0.0,0.0,satisfied
Male,Loyal Customer,57,Personal Travel,Eco,1587,1,4,1,4,3,1,3,3,2,1,4,5,3,3,2.0,8.0,neutral or dissatisfied
Male,Loyal Customer,48,Personal Travel,Eco,1678,3,4,3,2,2,3,2,2,4,4,4,3,4,2,0.0,3.0,neutral or dissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,2272,1,1,1,1,4,3,4,5,5,5,5,5,5,4,0.0,0.0,satisfied
Male,Loyal Customer,56,Personal Travel,Eco,2133,1,1,1,2,4,1,4,4,3,4,2,2,2,4,3.0,0.0,neutral or dissatisfied
Female,Loyal Customer,53,Personal Travel,Eco,779,0,5,0,3,2,0,2,2,1,4,4,2,3,2,0.0,26.0,satisfied
Female,Loyal Customer,39,Business travel,Business,1691,4,4,4,4,5,4,5,5,5,5,5,4,5,5,0.0,0.0,satisfied
Female,Loyal Customer,46,Business travel,Business,3758,4,4,4,4,3,2,1,5,5,5,5,2,5,4,0.0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,1235,1,1,1,1,2,4,5,4,4,4,4,4,4,3,0.0,2.0,satisfied
Male,disloyal Customer,26,Business travel,Business,1072,1,4,1,4,5,1,2,5,5,3,4,5,5,5,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,37,Business travel,Business,1980,3,3,3,2,4,3,4,4,3,3,5,5,4,4,10.0,3.0,neutral or dissatisfied
Female,Loyal Customer,46,Personal Travel,Eco,1120,1,1,1,1,4,4,5,5,5,5,5,4,5,3,0.0,0.0,satisfied
Male,Loyal Customer,70,Personal Travel,Eco,1865,1,4,0,2,5,0,5,5,5,3,5,4,4,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,22,Business travel,Business,1740,4,4,4,4,2,2,2,2,3,4,4,5,5,2,0.0,0.0,satisfied
Male,Loyal Customer,27,Business travel,Business,2302,2,2,2,2,3,3,3,3,3,2,4,4,5,3,12.0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,3450,2,2,2,2,3,5,4,3,3,4,3,5,3,3,0.0,0.0,satisfied
Male,Loyal Customer,43,Personal Travel,Eco,1514,1,5,1,5,1,1,1,1,5,1,1,2,1,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,80,Business travel,Eco,110,3,1,1,1,1,4,3,2,2,3,2,1,2,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,3369,2,2,2,2,1,4,4,2,2,2,2,1,2,2,0.0,16.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,2487,1,1,1,1,1,5,2,4,4,4,5,4,4,3,0.0,2.0,satisfied
Male,Loyal Customer,25,Business travel,Business,3657,2,2,2,2,4,4,4,4,4,4,4,3,5,4,0.0,0.0,satisfied
Female,Loyal Customer,42,Personal Travel,Eco,1029,5,3,3,3,5,5,5,5,2,3,5,4,3,5,0.0,5.0,satisfied
Female,Loyal Customer,58,Business travel,Eco,1115,2,4,4,4,3,4,3,2,2,2,2,3,2,3,1.0,16.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,279,3,5,3,3,5,4,4,5,5,5,5,5,5,5,0.0,11.0,satisfied
Male,Loyal Customer,25,Business travel,Business,2423,2,2,2,2,2,2,2,2,3,4,3,2,3,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,13,Personal Travel,Eco,2328,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4.0,0.0,satisfied
Male,Loyal Customer,44,Business travel,Business,1685,1,1,1,1,3,4,5,5,5,5,4,3,5,4,0.0,0.0,satisfied
Male,Loyal Customer,37,Business travel,Eco,1884,3,1,3,1,3,2,3,3,1,5,4,1,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,2084,5,5,5,5,3,5,4,5,5,5,5,2,5,1,5.0,0.0,satisfied
Male,disloyal Customer,60,Business travel,Business,3339,2,2,2,1,2,2,2,2,5,5,5,4,4,2,4.0,0.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,425,5,1,5,5,3,5,4,4,4,4,4,3,4,5,6.0,5.0,satisfied
Male,Loyal Customer,38,Business travel,Business,3280,5,5,5,5,5,4,5,5,5,5,5,4,5,4,8.0,0.0,satisfied
Male,disloyal Customer,27,Business travel,Business,2348,5,5,5,2,4,5,3,4,3,2,5,4,4,4,61.0,51.0,satisfied
Male,Loyal Customer,54,Business travel,Business,694,1,1,1,1,5,4,5,5,5,5,5,4,5,3,0.0,0.0,satisfied
Female,Loyal Customer,57,Business travel,Business,209,1,1,1,1,3,4,1,4,4,4,4,3,4,1,51.0,44.0,satisfied
Female,Loyal Customer,36,Business travel,Business,290,0,0,0,4,4,5,5,4,4,4,4,5,4,5,0.0,0.0,satisfied
Male,Loyal Customer,36,Personal Travel,Eco,2261,4,4,4,3,1,4,1,1,5,4,4,3,5,1,0.0,0.0,satisfied
Male,Loyal Customer,52,Business travel,Business,1816,1,3,1,1,4,4,4,4,4,4,4,5,4,5,0.0,0.0,satisfied
Male,disloyal Customer,24,Business travel,Eco,2419,3,3,3,2,5,3,5,5,5,2,4,5,4,5,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Business,2797,3,3,3,4,3,3,3,3,5,4,5,4,5,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,57,Personal Travel,Business,1612,5,5,5,5,5,1,3,4,4,4,4,4,4,1,0.0,13.0,satisfied
Female,Loyal Customer,40,Personal Travel,Eco,1163,0,4,0,3,4,0,4,4,2,3,3,3,4,4,0.0,0.0,satisfied
Female,Loyal Customer,32,Business travel,Eco,994,3,3,3,3,3,3,3,3,1,2,4,2,4,3,25.0,32.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,1644,2,1,1,1,2,2,3,2,2,1,2,1,2,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,Personal Travel,Eco,2848,1,5,1,4,1,1,3,1,3,2,4,3,5,1,0.0,2.0,neutral or dissatisfied
Female,Loyal Customer,27,Business travel,Business,1959,4,4,4,4,5,5,5,5,4,3,4,4,5,5,1.0,0.0,satisfied
Male,disloyal Customer,63,Business travel,Business,1526,5,5,5,2,3,5,3,3,5,3,4,5,4,3,17.0,29.0,satisfied
Female,Loyal Customer,10,Personal Travel,Business,1997,3,5,3,4,4,3,4,4,5,2,5,3,5,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Eco,1036,2,3,3,3,3,2,3,3,3,5,3,1,4,3,5.0,0.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,953,1,1,1,1,3,4,4,5,5,4,5,4,5,5,0.0,2.0,satisfied
Female,Loyal Customer,51,Business travel,Eco,865,1,2,2,2,3,3,3,1,1,1,1,3,1,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,1415,3,5,2,2,5,3,4,3,3,3,3,2,3,1,9.0,0.0,neutral or dissatisfied
Male,Loyal Customer,13,Personal Travel,Eco,1770,3,4,3,3,5,3,5,5,3,2,4,4,5,5,9.0,14.0,neutral or dissatisfied
Female,disloyal Customer,37,Business travel,Eco,1664,2,2,2,2,3,2,3,3,3,4,1,3,1,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,69,Business travel,Eco,411,2,5,5,5,1,4,4,2,2,2,2,2,2,4,11.0,2.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Business,2188,5,4,5,3,1,5,1,1,4,3,3,4,4,1,25.0,6.0,satisfied
Male,Loyal Customer,53,Personal Travel,Eco,1331,4,3,4,3,3,4,3,3,3,3,2,4,1,3,0.0,7.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Business,3661,4,4,4,4,5,5,5,5,3,5,4,3,5,5,6.0,3.0,satisfied
Female,Loyal Customer,55,Business travel,Business,3837,5,5,5,5,4,4,5,2,2,2,2,4,2,3,6.0,11.0,satisfied
Female,Loyal Customer,29,Business travel,Business,3446,5,5,5,5,4,4,4,4,3,5,4,4,4,4,0.0,0.0,satisfied
Female,Loyal Customer,24,Personal Travel,Eco,3169,4,4,4,3,2,4,2,2,5,2,4,4,4,2,0.0,1.0,neutral or dissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,2076,4,4,4,4,3,4,5,4,4,4,4,3,4,4,8.0,1.0,satisfied
Female,Loyal Customer,48,Personal Travel,Eco,290,4,4,4,3,5,4,2,5,5,4,5,4,5,5,0.0,9.0,satisfied
Female,Loyal Customer,34,Personal Travel,Eco,2809,4,4,3,3,5,3,1,5,5,2,5,3,5,5,0.0,0.0,satisfied
Male,disloyal Customer,37,Business travel,Eco,2128,4,3,3,3,5,3,5,5,2,1,3,1,4,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Personal Travel,Eco,1984,3,5,3,3,3,3,3,3,5,4,4,4,4,3,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,1532,1,1,1,1,5,4,5,5,4,3,4,3,5,5,2.0,0.0,satisfied
Female,Loyal Customer,43,Personal Travel,Eco,763,5,5,4,5,5,5,3,5,2,3,5,3,5,5,0.0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,1149,2,2,2,2,4,5,4,3,3,3,3,5,3,3,0.0,0.0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,2502,3,5,3,4,4,3,4,4,5,2,3,1,3,4,35.0,34.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,3578,4,4,3,4,5,5,5,5,5,5,5,5,5,5,0.0,0.0,satisfied
Male,Loyal Customer,40,Business travel,Eco,1845,2,2,1,2,2,2,2,2,2,4,4,1,4,2,15.0,10.0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Business,1957,2,2,2,2,1,4,1,5,5,5,5,3,5,2,11.0,9.0,satisfied
Male,Loyal Customer,39,Business travel,Eco,1393,3,1,4,1,3,3,3,3,5,5,4,3,4,3,6.0,5.0,satisfied
Male,disloyal Customer,9,Business travel,Eco,2358,4,3,3,3,5,3,3,5,5,2,3,5,4,5,0.0,0.0,satisfied
Female,Loyal Customer,47,Business travel,Business,95,0,4,0,2,4,4,5,2,2,2,2,5,2,5,1.0,0.0,satisfied
Male,Loyal Customer,58,Business travel,Business,1120,4,4,4,4,3,5,5,5,5,5,5,5,5,5,0.0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,292,4,4,4,4,1,1,2,5,5,5,5,1,5,4,0.0,0.0,satisfied
Male,Loyal Customer,50,Business travel,Eco,2347,2,5,5,5,2,2,2,2,4,2,2,4,3,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,54,Personal Travel,Eco,961,0,0,0,4,5,4,5,1,1,1,1,4,1,5,24.0,30.0,satisfied
Female,disloyal Customer,41,Business travel,Business,2631,2,2,2,2,1,2,1,1,5,5,4,4,5,1,0.0,0.0,satisfied
Male,Loyal Customer,29,Personal Travel,Eco,2344,4,4,4,3,5,4,4,5,3,3,3,3,3,5,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,32,Business travel,Eco Plus,1548,2,2,2,1,4,2,4,4,3,5,3,2,5,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,33,Personal Travel,Business,1030,5,2,5,4,4,4,4,2,2,5,2,1,2,2,3.0,9.0,satisfied
Female,Loyal Customer,36,Business travel,Business,3360,4,4,4,4,3,5,5,3,3,4,3,3,3,5,25.0,42.0,satisfied
Male,Loyal Customer,12,Personal Travel,Eco,2058,2,5,2,4,2,2,2,2,4,4,5,5,4,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,67,Personal Travel,Eco,2152,3,4,3,1,5,3,5,5,4,4,5,4,4,5,9.0,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,2652,1,1,1,1,4,5,4,4,4,5,4,5,5,4,1.0,0.0,satisfied
Female,Loyal Customer,55,Business travel,Business,220,0,4,0,1,3,4,4,5,5,5,5,5,5,5,29.0,25.0,satisfied
Male,Loyal Customer,59,Business travel,Eco,1739,2,5,5,5,2,2,2,2,3,1,3,2,3,2,27.0,16.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,3112,4,4,4,4,3,4,4,2,2,2,2,4,2,4,0.0,0.0,satisfied
Female,disloyal Customer,28,Business travel,Business,3552,2,2,2,2,2,2,2,2,5,2,4,4,5,2,70.0,31.0,neutral or dissatisfied
Male,Loyal Customer,17,Personal Travel,Eco,2084,2,5,0,3,4,0,4,4,4,5,4,5,5,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,69,Personal Travel,Eco,3860,1,1,0,1,4,0,4,4,2,3,1,1,2,4,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,1905,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0.0,0.0,satisfied
Male,Loyal Customer,52,Business travel,Eco Plus,1163,3,1,5,1,3,3,3,3,2,1,3,4,3,3,83.0,79.0,neutral or dissatisfied
Male,Loyal Customer,68,Personal Travel,Eco,1230,2,4,2,2,1,2,1,1,4,2,3,4,1,1,2.0,3.0,neutral or dissatisfied
