Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Seat Comfort,Departure/Arrival Time Convenient,Food and Drink,Gate Location,Inflight Wifi Service,Inflight Entertainment,Online Support,Ease of Online Booking,On-board Service,Leg Room Service,Baggage Handling,Check-in Service,Cleanliness,Online Boarding,Satisfaction
Male,Loyal,49,Personal,Eco,2488,0.0,0.0,2,4,2,3,4,2,4,4,5,5,4,3,5,4,Dissatisfied
Female,Loyal,58,Business,Business,3314,37.0,44.0,5,5,5,5,5,4,5,4,4,4,4,4,4,5,Satisfied
Female,Loyal,45,Business,Business,1683,0.0,0.0,4,2,4,4,5,5,4,5,5,5,5,4,5,4,Satisfied
Female,Loyal,15,Personal,Eco,2088,0.0,1.0,4,1,4,4,5,4,5,5,1,5,4,1,4,5,Satisfied
Male,Disloyal,45,Business,Business,2173,73.0,63.0,2,2,2,4,4,2,4,4,4,3,4,4,4,4,Dissatisfied
Male,Loyal,41,Business,Eco,2933,0.0,0.0,1,2,2,2,1,1,1,1,3,5,3,2,3,1,Dissatisfied
Male,Loyal,8,Personal,Eco,2031,0.0,0.0,1,4,1,1,1,1,1,1,4,4,3,5,5,1,Dissatisfied
Male,Loyal,23,Personal,Eco Plus,2443,31.0,17.0,3,2,3,3,3,3,1,3,4,5,3,2,3,3,Dissatisfied
Male,Loyal,40,Business,Business,452,0.0,0.0,1,1,1,1,3,4,5,5,5,5,5,4,5,3,Satisfied
Female,Loyal,31,Business,Eco,1190,0.0,2.0,5,5,4,5,5,4,5,5,5,2,4,2,2,5,Satisfied
Male,Loyal,64,Business,Business,1732,1.0,0.0,2,2,2,2,3,1,1,4,4,4,4,5,4,5,Satisfied
Female,Loyal,36,Business,Business,825,0.0,1.0,1,1,1,1,4,2,4,2,2,2,2,2,2,4,Satisfied
Male,Loyal,54,Business,Eco,1716,0.0,21.0,1,4,4,4,2,1,2,2,4,1,3,4,4,2,Dissatisfied
Male,Loyal,26,Business,Business,1759,20.0,11.0,1,1,1,1,4,4,4,4,5,2,4,3,4,4,Satisfied
Male,Loyal,57,Business,Business,1861,0.0,6.0,4,2,2,2,1,2,3,4,4,4,4,3,4,4,Dissatisfied
Female,Loyal,42,Business,Eco,1246,0.0,0.0,2,1,1,1,1,4,4,2,2,2,2,1,2,1,Dissatisfied
Male,Loyal,40,Business,Business,1032,0.0,0.0,3,5,5,5,4,4,4,3,3,3,3,2,3,3,Dissatisfied
Male,Loyal,62,Personal,Eco,2145,3.0,5.0,2,2,2,4,4,2,4,4,3,3,4,2,3,4,Dissatisfied
Female,Disloyal,20,Business,Eco,2407,0.0,0.0,3,3,3,3,5,3,5,5,1,3,3,2,4,5,Dissatisfied
Male,Loyal,40,Business,Business,2830,24.0,46.0,2,2,2,2,5,5,4,5,5,5,5,4,5,4,Satisfied
Female,Loyal,24,Business,Business,2750,12.0,12.0,5,5,5,5,4,4,4,4,4,2,5,5,5,4,Satisfied
Female,Loyal,41,Business,Eco Plus,251,3.0,0.0,3,1,1,1,3,3,2,3,3,3,3,2,3,1,Dissatisfied
Male,Loyal,15,Personal,Eco,2157,0.0,0.0,2,1,2,3,5,2,1,5,2,3,2,2,4,5,Dissatisfied
Female,Loyal,7,Personal,Eco Plus,1673,64.0,57.0,4,4,2,4,5,4,4,5,5,5,5,5,5,5,Satisfied
Male,Loyal,55,Personal,Eco,1988,0.0,3.0,4,5,4,3,4,4,4,4,5,5,5,5,4,4,Dissatisfied
Male,Loyal,38,Personal,Eco,1805,0.0,2.0,3,4,3,4,2,3,2,2,3,3,4,4,3,2,Dissatisfied
Male,Loyal,40,Personal,Business,214,0.0,0.0,1,5,1,3,4,5,5,1,1,1,1,3,1,3,Dissatisfied
Female,Loyal,58,Personal,Eco,378,0.0,1.0,4,4,4,4,4,5,4,5,5,5,4,3,5,5,Satisfied
Female,Loyal,40,Personal,Eco,2319,0.0,0.0,5,4,4,4,1,2,2,5,5,5,5,1,5,5,Satisfied
Female,Loyal,63,Personal,Eco,985,13.0,13.0,2,2,2,2,2,5,5,4,4,4,4,4,4,5,Satisfied
Male,Loyal,52,Business,Business,1414,0.0,0.0,3,2,3,2,4,1,1,3,3,3,3,2,3,2,Dissatisfied
Male,Loyal,60,Business,Business,3595,0.0,0.0,2,3,3,3,5,3,4,2,2,2,2,1,2,2,Dissatisfied
Female,Disloyal,41,Business,Business,1264,0.0,0.0,2,2,2,2,3,2,3,3,5,1,5,2,3,3,Dissatisfied
Female,Loyal,15,Business,Business,2330,28.0,32.0,2,2,2,2,5,5,5,5,5,5,4,3,4,5,Satisfied
Female,Loyal,23,Business,Eco Plus,1682,0.0,0.0,4,5,5,5,4,4,3,4,4,5,4,4,4,4,Dissatisfied
Male,Loyal,32,Personal,Eco,1967,1.0,0.0,2,4,2,5,1,2,1,1,3,2,5,5,4,1,Dissatisfied
Female,Loyal,62,Personal,Eco,513,0.0,0.0,4,3,4,4,4,4,4,4,3,4,1,5,1,4,Satisfied
Female,Loyal,27,Personal,Eco,2468,0.0,0.0,4,4,4,4,2,4,5,5,5,5,5,4,5,5,Satisfied
Female,Loyal,52,Personal,Eco,94,0.0,0.0,2,3,3,3,3,3,5,2,2,2,2,3,2,4,Satisfied
Female,Loyal,24,Business,Eco,2190,6.0,2.0,2,2,2,2,2,2,4,2,4,2,3,3,3,2,Dissatisfied
Male,Disloyal,29,Business,Business,3404,58.0,10.0,1,1,1,4,2,1,2,2,4,5,4,1,3,2,Dissatisfied
Female,Loyal,37,Personal,Eco,1855,84.0,77.0,5,2,2,2,2,1,1,4,4,5,4,4,4,5,Satisfied
Male,Disloyal,37,Business,Eco,1923,30.0,13.0,2,2,3,4,3,3,3,3,2,5,4,1,4,3,Dissatisfied
Male,Disloyal,40,Business,Eco Plus,1570,4.0,0.0,5,5,5,3,2,5,2,2,1,4,1,3,1,2,Satisfied
Female,Loyal,45,Personal,Eco,380,0.0,0.0,5,5,5,3,3,4,4,2,2,5,2,4,2,5,Satisfied
Male,Loyal,57,Business,Business,3457,0.0,0.0,4,4,4,4,3,4,4,4,4,4,4,3,4,5,Satisfied
Female,Loyal,55,Business,Eco Plus,1535,4.0,6.0,1,1,1,1,1,3,3,1,1,1,1,1,1,2,Dissatisfied
Male,Loyal,46,Business,Business,1409,0.0,0.0,1,1,1,1,5,5,4,5,5,5,5,3,5,3,Satisfied
Female,Loyal,12,Personal,Eco,2086,30.0,46.0,3,3,3,3,5,5,5,4,4,4,4,3,4,5,Satisfied
Female,Loyal,49,Personal,Eco Plus,1193,0.0,0.0,5,5,5,5,2,4,4,4,4,4,4,5,4,4,Satisfied
Male,Loyal,47,Business,Business,1767,0.0,0.0,3,3,3,3,5,4,5,5,5,5,5,4,5,5,Satisfied
Female,Loyal,45,Business,Eco,325,4.0,46.0,2,1,1,1,3,3,4,2,2,2,2,3,2,3,Dissatisfied
Female,Disloyal,29,Business,Business,2730,16.0,0.0,4,3,3,2,5,3,5,5,5,4,3,5,4,5,Satisfied
Female,Loyal,29,Business,Business,1641,15.0,12.0,4,2,2,2,4,4,4,4,3,1,3,2,2,4,Dissatisfied
Male,Loyal,42,Personal,Eco,1149,0.0,0.0,1,4,1,2,3,1,3,3,5,4,5,5,5,3,Dissatisfied
Male,Loyal,47,Business,Business,284,0.0,0.0,3,3,3,3,4,5,5,4,4,4,4,4,4,3,Satisfied
Male,Loyal,51,Business,Eco Plus,3653,0.0,2.0,4,3,3,3,4,4,4,1,5,2,4,4,3,4,Dissatisfied
Male,Loyal,34,Personal,Eco,2401,1.0,0.0,2,5,2,3,3,2,3,3,4,2,4,3,4,3,Dissatisfied
Female,Loyal,18,Personal,Eco,1902,0.0,0.0,3,3,5,3,4,4,4,4,2,2,3,1,1,4,Satisfied
Female,Loyal,59,Personal,Eco Plus,1754,1.0,0.0,4,4,4,3,2,2,3,4,4,4,2,2,4,1,Satisfied
Male,Loyal,59,Personal,Eco,2149,0.0,2.0,3,5,3,2,1,3,5,1,4,2,4,4,5,1,Dissatisfied
Female,Loyal,50,Business,Business,1588,0.0,0.0,4,4,4,4,3,5,5,4,4,4,4,5,4,3,Satisfied
Male,Loyal,39,Business,Business,515,4.0,0.0,2,2,2,2,2,5,4,4,4,4,4,5,4,3,Satisfied
Female,Loyal,39,Business,Business,549,20.0,16.0,5,5,5,5,2,4,4,4,4,4,4,3,4,5,Satisfied
Female,Loyal,36,Business,Business,389,25.0,24.0,5,5,5,5,1,1,5,4,4,4,4,4,4,3,Satisfied
Male,Loyal,35,Business,Business,3173,0.0,0.0,1,1,1,1,5,5,4,5,5,5,5,3,5,4,Satisfied
Male,Loyal,60,Personal,Eco,2197,0.0,0.0,1,1,1,3,3,1,3,3,1,3,3,1,4,3,Dissatisfied
Female,Loyal,64,Personal,Business,1195,2.0,0.0,3,4,4,4,5,3,4,3,3,3,3,2,3,1,Satisfied
Female,Loyal,51,Business,Business,2684,8.0,0.0,2,2,2,2,2,5,5,4,4,4,4,4,4,4,Satisfied
Female,Loyal,53,Business,Business,2922,0.0,0.0,4,4,4,4,2,5,5,5,5,5,5,4,5,4,Satisfied
Male,Loyal,20,Personal,Eco,1923,0.0,0.0,3,1,3,3,5,3,5,5,2,1,3,3,4,5,Dissatisfied
Female,Disloyal,26,Business,Eco,1165,0.0,0.0,5,4,4,2,2,4,2,2,2,1,2,4,5,2,Satisfied
Male,Loyal,56,Business,Business,3178,70.0,62.0,3,3,4,3,2,5,5,4,4,4,4,4,4,5,Satisfied
Male,Loyal,24,Personal,Eco,2130,0.0,5.0,3,3,3,4,3,3,2,3,4,5,1,1,2,3,Dissatisfied
Male,Loyal,46,Business,Business,3487,12.0,12.0,1,1,1,1,5,4,4,4,4,4,4,4,4,4,Satisfied
Male,Loyal,44,Business,Business,2604,38.0,34.0,2,2,4,2,4,4,5,5,5,5,5,3,5,4,Satisfied
Female,Loyal,53,Personal,Eco Plus,409,12.0,10.0,1,1,3,1,3,4,5,4,4,4,4,5,4,4,Satisfied
Male,Loyal,53,Business,Business,2846,0.0,0.0,3,3,3,3,2,4,4,4,4,5,4,4,4,5,Satisfied
Female,Loyal,39,Business,Business,1767,14.0,14.0,1,1,1,1,5,1,3,4,4,4,4,1,4,5,Satisfied
Male,Loyal,53,Business,Business,2512,5.0,0.0,2,2,2,2,5,5,5,4,3,4,4,5,3,5,Satisfied
Male,Loyal,32,Business,Eco,2755,25.0,124.0,5,2,5,2,5,5,5,5,1,4,5,2,4,5,Satisfied
Female,Loyal,52,Business,Business,1873,5.0,5.0,2,2,2,2,4,5,4,4,4,5,4,4,4,5,Satisfied
Male,Loyal,29,Business,Business,1493,0.0,0.0,4,4,4,4,5,5,5,5,4,2,2,2,3,5,Satisfied
Female,Loyal,48,Business,Business,3400,0.0,0.0,3,3,3,3,3,5,5,5,5,5,5,5,5,3,Satisfied
Female,Loyal,16,Personal,Eco,1166,0.0,0.0,4,2,4,4,1,4,1,1,2,2,4,1,3,1,Dissatisfied
Female,Loyal,44,Personal,Eco,261,23.0,10.0,4,4,4,4,5,1,2,5,5,5,5,5,5,3,Satisfied
Female,Loyal,8,Personal,Eco,1475,0.0,0.0,4,4,4,4,2,4,4,5,5,5,5,3,5,5,Satisfied
Male,Loyal,61,Personal,Eco,1752,10.0,0.0,3,5,3,3,4,3,4,4,4,4,5,3,4,4,Dissatisfied
Male,Loyal,55,Business,Business,3125,0.0,5.0,1,1,1,1,5,5,5,2,2,2,2,4,2,3,Satisfied
Female,Loyal,59,Business,Eco,270,12.0,14.0,5,5,4,4,5,5,5,5,5,5,5,1,5,5,Satisfied
Female,Disloyal,38,Business,Business,1115,29.0,28.0,3,3,3,5,4,3,4,4,5,4,4,5,5,4,Dissatisfied
Male,Loyal,61,Personal,Business,659,40.0,21.0,2,2,1,4,1,4,3,2,2,1,4,4,2,2,Dissatisfied
Female,Loyal,55,Personal,Eco,938,15.0,4.0,5,5,5,5,4,5,5,5,5,5,5,4,5,5,Satisfied
Female,Loyal,51,Business,Business,2905,12.0,0.0,3,3,3,3,5,5,4,4,4,4,4,3,4,5,Satisfied
Male,Loyal,52,Business,Eco,1090,0.0,0.0,2,5,5,5,2,2,2,2,4,3,3,1,1,2,Satisfied
Male,Loyal,19,Business,Eco Plus,1304,70.0,64.0,2,2,2,2,2,2,1,2,2,4,3,1,4,2,Dissatisfied
Male,Loyal,67,Personal,Eco,1955,0.0,0.0,5,4,5,3,3,5,3,3,3,5,4,3,4,3,Satisfied
Female,Loyal,61,Business,Eco,392,0.0,0.0,4,4,4,4,4,3,3,4,4,4,4,4,4,2,Dissatisfied
Female,Loyal,45,Personal,Eco,800,77.0,64.0,3,5,3,4,2,3,2,2,2,3,1,1,2,4,Dissatisfied
Female,Disloyal,14,Business,Eco,1926,0.0,0.0,3,2,2,3,3,3,3,3,1,5,3,4,4,3,Dissatisfied
Male,Loyal,28,Personal,Eco Plus,1569,0.0,0.0,4,3,4,4,4,4,4,4,1,3,3,4,3,4,Satisfied
Female,Loyal,30,Personal,Eco,2348,31.0,18.0,5,5,5,2,4,5,4,4,2,1,3,4,5,4,Satisfied
Female,Loyal,51,Business,Eco Plus,211,0.0,0.0,5,5,5,5,2,4,4,5,5,5,5,2,5,3,Satisfied
Male,Loyal,56,Business,Eco Plus,1573,0.0,0.0,4,5,5,5,3,4,3,3,2,3,4,1,2,3,Satisfied
Male,Loyal,26,Business,Business,2373,0.0,0.0,2,2,2,2,4,4,4,4,5,2,5,4,4,4,Satisfied
Female,Loyal,60,Personal,Eco,1073,18.0,0.0,4,4,4,4,5,3,4,5,5,5,5,2,5,1,Satisfied
Male,Loyal,24,Business,Business,3355,9.0,16.0,2,2,2,2,4,4,4,4,5,3,2,5,4,4,Satisfied
Male,Loyal,29,Business,Business,2829,22.0,25.0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,Dissatisfied
Female,Loyal,39,Business,Eco Plus,2311,0.0,0.0,4,1,2,1,4,4,4,4,5,4,5,1,4,4,Satisfied
Female,Loyal,47,Business,Business,1752,0.0,0.0,4,4,4,4,5,4,4,5,5,4,5,5,5,5,Satisfied
Female,Loyal,44,Business,Business,424,0.0,0.0,1,1,4,1,5,4,4,4,4,4,4,3,4,4,Satisfied
Male,Disloyal,28,Business,Business,1723,14.0,11.0,5,5,5,1,3,5,3,3,5,4,5,3,4,3,Satisfied
Male,Loyal,36,Business,Business,1276,14.0,0.0,2,2,5,2,4,5,4,5,5,5,5,4,5,3,Satisfied
Female,Loyal,65,Personal,Eco,550,59.0,49.0,3,3,3,3,3,5,4,5,5,5,5,3,5,3,Satisfied
Male,Loyal,44,Business,Business,3773,20.0,10.0,1,1,1,1,3,5,4,4,4,4,4,4,4,4,Satisfied
Male,Loyal,44,Business,Business,642,0.0,0.0,5,5,5,5,2,4,4,5,5,5,5,2,5,2,Satisfied
Female,Loyal,55,Business,Business,1068,0.0,0.0,4,4,4,4,5,4,4,5,5,5,5,3,5,3,Satisfied
Male,Loyal,39,Business,Business,2972,0.0,0.0,5,5,5,5,5,4,4,3,3,4,3,3,3,3,Satisfied
Female,Loyal,36,Business,Eco Plus,1222,13.0,2.0,5,4,4,4,5,5,5,5,2,2,2,1,3,5,Satisfied
Male,Loyal,39,Business,Business,528,0.0,0.0,4,4,4,4,2,5,5,4,4,4,4,3,4,4,Satisfied
Male,Loyal,43,Business,Business,1819,0.0,0.0,1,1,4,1,2,4,5,5,5,4,5,4,5,3,Satisfied
Female,Loyal,59,Personal,Business,2239,2.0,0.0,5,4,5,4,1,5,2,1,5,5,4,3,4,1,Satisfied
Male,Loyal,33,Business,Business,4653,0.0,0.0,1,1,1,1,5,5,3,5,3,5,2,3,2,5,Satisfied
Female,Disloyal,36,Business,Business,1906,29.0,17.0,3,3,3,3,3,3,3,3,4,4,5,3,5,3,Dissatisfied
Female,Loyal,52,Business,Business,3247,0.0,0.0,3,3,3,3,5,5,4,4,4,5,4,4,4,4,Satisfied
Female,Loyal,44,Business,Business,2012,2.0,3.0,5,5,5,5,3,4,4,4,4,4,4,5,4,4,Satisfied
Female,Loyal,13,Personal,Business,2034,25.0,13.0,3,3,3,3,3,5,4,4,4,5,4,4,4,5,Satisfied
Female,Loyal,63,Business,Eco,64,0.0,13.0,2,4,4,4,4,4,3,2,2,2,2,4,2,4,Dissatisfied
Female,Loyal,13,Personal,Eco,1627,0.0,6.0,5,4,4,4,5,5,5,5,3,4,2,1,4,5,Satisfied
Male,Loyal,49,Business,Eco,1421,35.0,25.0,3,4,4,4,2,3,2,2,1,3,4,1,4,2,Dissatisfied
Female,Loyal,24,Business,Eco,2793,0.0,0.0,4,5,5,5,4,4,3,4,5,5,3,3,1,4,Satisfied
Female,Loyal,27,Business,Business,2304,0.0,0.0,1,2,2,2,1,1,1,1,4,5,4,4,3,1,Dissatisfied
Male,Disloyal,36,Business,Eco Plus,2055,0.0,0.0,2,2,2,4,4,2,4,4,2,5,3,1,3,4,Dissatisfied
Male,Loyal,56,Business,Business,4006,0.0,0.0,3,3,3,3,4,4,5,4,4,5,4,4,4,5,Satisfied
Male,Loyal,24,Personal,Eco,2422,92.0,107.0,2,4,2,1,4,2,4,4,2,3,4,4,5,4,Dissatisfied
Female,Loyal,26,Personal,Eco,2208,0.0,0.0,5,4,4,4,2,4,2,5,5,5,5,4,5,3,Satisfied
Female,Disloyal,37,Business,Eco,2003,5.0,15.0,5,3,5,3,2,5,2,2,5,2,1,1,3,2,Satisfied
Female,Loyal,26,Business,Eco,2561,1.0,0.0,4,3,3,3,4,4,4,4,1,1,3,2,1,4,Satisfied
Male,Loyal,54,Personal,Eco,1225,0.0,0.0,1,2,1,2,1,1,4,1,4,5,1,2,2,1,Dissatisfied
Female,Loyal,67,Business,Business,485,0.0,0.0,3,4,2,2,3,4,4,3,3,3,3,3,3,1,Dissatisfied
Male,Loyal,50,Business,Business,2898,5.0,0.0,1,1,1,1,3,4,4,5,5,5,5,4,5,3,Satisfied
Male,Loyal,44,Business,Business,273,0.0,0.0,3,2,2,2,3,3,3,3,3,3,3,4,3,4,Dissatisfied
Female,Loyal,13,Personal,Eco,1283,2.0,0.0,4,4,2,4,4,4,4,4,5,5,4,4,5,4,Satisfied
Male,Loyal,38,Business,Business,1615,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,3,4,5,Satisfied
Male,Disloyal,35,Business,Eco,2464,31.0,29.0,4,3,3,3,2,3,2,2,2,4,3,3,4,2,Dissatisfied
Male,Loyal,31,Business,Business,2964,23.0,8.0,1,1,1,1,4,4,4,4,3,4,5,3,4,4,Satisfied
Male,Loyal,45,Business,Business,2509,0.0,0.0,4,4,4,4,4,5,4,5,5,5,5,3,5,3,Satisfied
Female,Loyal,62,Personal,Eco,630,34.0,25.0,2,2,2,2,5,4,5,5,5,5,5,3,5,3,Satisfied
Female,Loyal,31,Business,Business,3560,0.0,0.0,5,5,4,5,4,4,4,4,3,4,5,5,4,4,Satisfied
Male,Loyal,38,Business,Business,213,0.0,0.0,2,5,5,5,1,4,3,2,2,2,2,2,2,2,Dissatisfied
Female,Disloyal,22,Business,Eco,2486,0.0,5.0,3,3,3,3,5,3,4,5,5,5,3,4,4,5,Dissatisfied
Male,Loyal,19,Personal,Eco,879,0.0,0.0,2,4,2,4,4,2,4,4,3,5,5,3,4,4,Dissatisfied
Female,Loyal,43,Business,Business,2525,5.0,0.0,4,4,4,4,4,4,5,3,3,4,3,5,3,3,Satisfied
Female,Loyal,47,Business,Business,2578,0.0,0.0,5,5,5,5,4,4,4,4,4,4,3,4,1,4,Satisfied
Male,Loyal,59,Personal,Eco,2536,31.0,31.0,2,4,2,3,3,2,3,3,5,2,4,4,3,3,Dissatisfied
Female,Loyal,39,Business,Eco,2091,0.0,0.0,4,5,5,5,4,4,4,4,4,5,1,2,2,4,Satisfied
Female,Loyal,60,Business,Eco,1115,0.0,11.0,2,4,5,4,3,1,2,2,2,2,2,4,2,3,Dissatisfied
Female,Disloyal,27,Business,Eco,2282,0.0,0.0,3,3,3,4,4,3,4,4,1,3,4,2,1,4,Dissatisfied
Male,Loyal,41,Business,Business,1605,23.0,48.0,4,4,4,4,4,4,5,4,4,4,4,5,4,5,Satisfied
Male,Loyal,46,Business,Business,553,6.0,0.0,1,1,1,1,3,5,5,5,5,5,5,5,5,4,Satisfied
Female,Loyal,11,Personal,Eco,3028,0.0,0.0,1,1,1,1,2,5,4,4,4,4,4,4,4,5,Satisfied
Male,Loyal,42,Business,Business,3915,0.0,0.0,3,3,3,3,3,4,5,4,4,4,4,3,4,4,Satisfied
Male,Loyal,29,Business,Business,1443,115.0,130.0,2,1,1,1,2,2,2,2,4,3,3,2,4,2,Dissatisfied
Male,Loyal,41,Business,Eco,1214,0.0,3.0,4,3,3,3,3,4,3,3,3,4,1,2,3,3,Satisfied
Male,Loyal,35,Business,Eco,1658,0.0,0.0,4,2,3,3,4,4,4,4,5,4,3,5,5,4,Satisfied
Female,Loyal,42,Business,Business,297,0.0,0.0,5,5,5,5,4,4,4,4,4,4,4,5,4,5,Satisfied
Female,Loyal,43,Business,Business,1818,17.0,8.0,5,5,5,5,5,5,4,4,4,4,4,4,4,3,Satisfied
Female,Loyal,24,Personal,Eco,1343,0.0,3.0,3,5,1,5,3,1,3,3,3,3,3,4,3,4,Satisfied
Female,Loyal,24,Personal,Eco,2216,0.0,0.0,4,4,4,4,3,4,3,3,4,5,4,4,4,3,Satisfied
Male,Loyal,62,Business,Business,748,43.0,61.0,1,1,1,1,5,4,5,5,5,5,5,4,5,5,Satisfied
Male,Loyal,45,Personal,Eco,1742,0.0,0.0,1,5,1,2,2,1,2,2,5,4,5,5,4,2,Dissatisfied
Male,Loyal,24,Business,Business,3788,29.0,55.0,1,4,4,4,1,1,1,1,2,3,3,2,4,1,Dissatisfied
Female,Loyal,44,Business,Business,3662,0.0,0.0,3,3,3,3,3,5,5,5,5,5,5,5,5,4,Satisfied
Male,Loyal,54,Business,Business,2629,37.0,27.0,3,1,1,1,3,3,3,4,2,3,3,3,2,3,Dissatisfied
Female,Loyal,48,Business,Business,1778,0.0,0.0,4,5,5,5,3,2,3,4,4,4,4,2,4,3,Dissatisfied
Female,Loyal,39,Personal,Business,1097,0.0,0.0,3,3,3,3,5,5,5,5,5,1,1,2,3,5,Satisfied
Female,Loyal,60,Business,Eco,1225,14.0,0.0,5,2,2,2,2,3,4,5,5,5,5,1,5,3,Satisfied
Male,Loyal,43,Business,Business,3934,11.0,7.0,4,4,4,4,3,5,5,5,5,5,5,5,5,3,Satisfied
Male,Loyal,50,Personal,Eco,2113,0.0,0.0,2,4,2,4,2,2,1,2,4,5,5,4,5,2,Dissatisfied
Female,Loyal,33,Business,Business,2900,0.0,0.0,1,1,1,1,5,4,4,4,4,4,4,3,4,3,Satisfied
Female,Loyal,57,Personal,Eco,995,5.0,0.0,1,1,5,1,5,5,5,4,4,4,4,5,4,4,Satisfied
Female,Disloyal,27,Business,Eco Plus,1679,0.0,0.0,1,1,1,1,4,1,4,4,3,5,2,4,5,4,Dissatisfied
Male,Loyal,37,Personal,Eco,1956,25.0,11.0,2,5,1,3,4,1,4,4,4,5,4,5,5,4,Dissatisfied
Male,Loyal,32,Personal,Eco,1800,0.0,0.0,1,4,1,1,1,1,1,1,5,2,4,4,4,1,Dissatisfied
Female,Loyal,21,Business,Business,1615,29.0,23.0,3,3,4,3,3,3,3,3,2,3,3,4,2,3,Dissatisfied
Female,Disloyal,26,Business,Eco,1818,45.0,72.0,2,4,2,1,4,2,4,4,1,1,5,1,4,4,Dissatisfied
Male,Disloyal,27,Business,Eco,1892,0.0,0.0,2,5,2,4,1,2,1,1,1,3,5,5,5,1,Dissatisfied
Male,Loyal,30,Personal,Eco Plus,1243,0.0,0.0,1,1,1,2,4,1,5,4,1,4,3,4,3,4,Dissatisfied
Female,Loyal,20,Business,Business,3960,0.0,0.0,2,2,2,2,5,5,5,5,3,3,5,4,4,5,Satisfied
Female,Loyal,21,Business,Business,3620,74.0,65.0,4,4,4,4,4,4,4,4,5,5,5,4,4,4,Satisfied
Female,Loyal,8,Personal,Eco,1630,0.0,0.0,4,5,4,2,1,4,1,1,3,5,4,4,5,1,Dissatisfied
Male,Loyal,50,Business,Business,1021,75.0,87.0,3,3,3,3,2,5,5,4,4,4,4,3,4,4,Satisfied
Male,Loyal,41,Business,Business,2192,0.0,0.0,2,5,2,2,3,5,5,4,4,4,4,3,4,3,Satisfied
Male,Disloyal,40,Business,Eco,1577,0.0,0.0,3,1,4,3,4,4,4,4,2,2,3,4,3,4,Dissatisfied
Female,Loyal,53,Business,Business,200,0.0,6.0,2,2,2,2,4,5,5,5,5,5,4,4,5,4,Satisfied
Female,Loyal,54,Business,Business,2152,79.0,62.0,3,3,3,3,2,5,5,5,5,5,5,4,5,5,Satisfied
Female,Loyal,55,Business,Business,3253,12.0,0.0,3,3,3,3,2,4,5,5,5,4,5,5,5,4,Satisfied
Female,Loyal,48,Business,Business,345,33.0,27.0,2,2,4,2,4,5,4,5,5,5,5,4,5,3,Satisfied
Female,Disloyal,26,Business,Eco,2242,0.0,0.0,2,2,2,3,3,2,4,3,3,5,3,3,4,3,Dissatisfied
Female,Loyal,35,Personal,Eco,2413,8.0,22.0,5,2,5,4,5,3,3,1,1,2,1,2,1,3,Satisfied
Female,Loyal,55,Business,Business,1531,0.0,8.0,2,2,3,2,5,4,4,5,5,5,5,5,5,4,Satisfied
